,cardname,text,cmc,mana,type,Type
16963,Wall of Omens,"Defender
When Wall of Omens enters the battlefield, draw a card.",2,{1}{W},Creature - Wall,
16965,Advent of the Wurm,Create a 5/5 green Wurm creature token with trample.,4,{1}{G}{G}{W},Instant,
16966,Aetherling,"{U}: Exile Aetherling. Return it to the battlefield under its owner's control at the beginning of the next end step.
{U}: Aetherling can't be blocked this turn.
{1}: Aetherling gets +1/-1 until end of turn.
{1}: Aetherling gets -1/+1 until end of turn.",6,{4}{U}{U},Creature - Shapeshifter,
16967,Alive // Well,None,5,{3}{G} // {W},Sorcery // Sorcery,
16968,Armed // Dangerous,None,6,{1}{R} // {3}{G},Sorcery // Sorcery,
16969,Armored Wolf-Rider,,5,{3}{G}{W},Creature - Elf Knight,
16970,Ascended Lawmage,"Flying
Hexproof (This creature can't be the target of spells or abilities your opponents control.)",4,{2}{W}{U},Creature - Vedalken Wizard,
16971,Awe for the Guilds,Monocolored creatures can't block this turn.,3,{2}{R},Sorcery,
16972,Azorius Cluestone,"{T}: Add {W} or {U}.
{W}{U}, {T}, Sacrifice Azorius Cluestone: Draw a card.",3,{3},Artifact,
16974,Bane Alley Blackguard,,2,{1}{B},Creature - Human Rogue,
16975,Battering Krasis,"Trample
Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)",3,{2}{G},Creature - Shark Beast,
16976,Beck // Call,None,8,{G}{U} // {4}{W}{U},Sorcery // Sorcery,
16977,Beetleform Mage,{G}{U}: Beetleform Mage gets +2/+2 and gains flying until end of turn. Activate only once each turn.,3,{1}{G}{U},Creature - Human Insect Wizard,
16978,Blast of Genius,"Choose any target. Draw three cards, then discard a card. Blast of Genius deals damage equal to the discarded card's mana value to that permanent or player.",6,{4}{U}{R},Sorcery,
16979,Blaze Commando,"Whenever an instant or sorcery spell you control deals damage, create two 1/1 red and white Soldier creature tokens with haste.",5,{3}{R}{W},Creature - Minotaur Soldier,
16980,Blood Baron of Vizkopa,"Lifelink, protection from white and from black
As long as you have 30 or more life and an opponent has 10 or less life, Blood Baron of Vizkopa gets +6/+6 and has flying.",5,{3}{W}{B},Creature - Vampire,
16981,Blood Scrivener,"If you would draw a card while you have no cards in hand, instead you draw two cards and you lose 1 life.",2,{1}{B},Creature - Zombie Wizard,
16982,Boros Battleshaper,"At the beginning of each combat, up to one target creature attacks or blocks this combat if able and up to one target creature can't attack or block this combat.",7,{5}{R}{W},Creature - Minotaur Soldier,
16983,Boros Cluestone,"{T}: Add {R} or {W}.
{R}{W}, {T}, Sacrifice Boros Cluestone: Draw a card.",3,{3},Artifact,
16985,Boros Mastiff,"Battalion - Whenever Boros Mastiff and at least two other creatures attack, Boros Mastiff gains lifelink until end of turn. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)",2,{1}{W},Creature - Dog,
16986,Breaking // Entering,None,8,{U}{B} // {4}{B}{R},Sorcery // Sorcery,
16987,Bred for the Hunt,"Whenever a creature you control with a +1/+1 counter on it deals combat damage to a player, you may draw a card.",3,{1}{G}{U},Enchantment,
16988,Bronzebeak Moa,"Whenever another creature enters the battlefield under your control, Bronzebeak Moa gets +3/+3 until end of turn.",4,{2}{G}{W},Creature - Bird,
16989,Carnage Gladiator,"Whenever a creature blocks, that creature's controller loses 1 life.
{1}{B}{R}: Regenerate Carnage Gladiator.",4,{2}{B}{R},Creature - Skeleton Warrior,
16990,Catch // Release,None,9,{1}{U}{R} // {4}{R}{W},Sorcery // Sorcery,
16991,Clear a Path,Destroy target creature with defender.,1,{R},Sorcery,
16992,Council of the Absolute,"As Council of the Absolute enters the battlefield, choose a noncreature, nonland card name.
Your opponents can't cast spells with the chosen name.
Spells with the chosen name you cast cost {2} less to cast.",4,{2}{W}{U},Creature - Human Advisor,
16993,Crypt Incursion,Exile all creature cards from target player's graveyard. You gain 3 life for each card exiled this way.,3,{2}{B},Instant,
16994,Deadbridge Chant,"When Deadbridge Chant enters the battlefield, mill ten cards.
At the beginning of your upkeep, choose a card at random in your graveyard. If it's a creature card, put it onto the battlefield. Otherwise, put it into your hand.",6,{4}{B}{G},Enchantment,
16995,Debt to the Deathless,Each opponent loses two times X life. You gain life equal to the life lost this way.,4,{X}{W}{W}{B}{B},Sorcery,
16996,Deputy of Acquittals,"Flash (You may cast this spell any time you could cast an instant.)
When Deputy of Acquittals enters the battlefield, you may return another target creature you control to its owner's hand.",2,{W}{U},Creature - Human Wizard,
16997,Dimir Cluestone,"{T}: Add {U} or {B}.
{U}{B}, {T}, Sacrifice Dimir Cluestone: Draw a card.",3,{3},Artifact,
16999,Down // Dirty,None,7,{3}{B} // {2}{G},Sorcery // Sorcery,
17000,Dragonshift,"Until end of turn, target creature you control becomes a blue and red Dragon with base power and toughness 4/4, loses all abilities, and gains flying.
Overload {3}{U}{U}{R}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",3,{1}{U}{R},Instant,
17001,Drown in Filth,"Choose target creature. Mill four cards, then that creature gets -1/-1 until end of turn for each land card in your graveyard.",2,{B}{G},Sorcery,
17002,Emmara Tandris,Prevent all damage that would be dealt to creature tokens you control.,7,{5}{G}{W},Legendary Creature - Elf Shaman,
17003,"Exava, Rakdos Blood Witch","First strike, haste
Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)
Each other creature you control with a +1/+1 counter on it has haste.",4,{2}{B}{R},Legendary Creature - Human Cleric,
17004,Far // Away,None,5,{1}{U} // {2}{B},Instant // Instant,
17005,Fatal Fumes,Target creature gets -4/-2 until end of turn.,4,{3}{B},Instant,
17007,Flesh // Blood,None,7,{3}{B}{G} // {R}{G},Sorcery // Sorcery,
17008,Fluxcharger,"Flying
Whenever you cast an instant or sorcery spell, you may switch Fluxcharger's power and toughness until end of turn.",4,{2}{U}{R},Creature - Weird,
17009,Gaze of Granite,Destroy each nonland permanent with mana value X or less.,3,{X}{B}{B}{G},Sorcery,
17010,Give // Take,None,6,{2}{G} // {2}{U},Sorcery // Sorcery,
17011,Gleam of Battle,"Whenever a creature you control attacks, put a +1/+1 counter on it.",6,{4}{R}{W},Enchantment,
17012,Goblin Test Pilot,"Flying
{T}: Goblin Test Pilot deals 2 damage to any target chosen at random.",3,{1}{U}{R},Creature - Goblin Pilot Wizard,
17013,Golgari Cluestone,"{T}: Add {B} or {G}.
{B}{G}, {T}, Sacrifice Golgari Cluestone: Draw a card.",3,{3},Artifact,
17015,Gruul Cluestone,"{T}: Add {R} or {G}.
{R}{G}, {T}, Sacrifice Gruul Cluestone: Draw a card.",3,{3},Artifact,
17017,Gruul War Chant,Attacking creatures you control get +1/+0 and have menace.,4,{2}{R}{G},Enchantment,
17018,Haazda Snare Squad,"Whenever Haazda Snare Squad attacks, you may pay {W}. If you do, tap target creature an opponent controls.",3,{2}{W},Creature - Human Soldier,
17019,Haunter of Nightveil,Creatures your opponents control get -1/-0.,5,{3}{U}{B},Creature - Spirit,
17020,Hidden Strings,"You may tap or untap target permanent, then you may tap or untap another target permanent.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",2,{1}{U},Sorcery,
17021,Hired Torturer,"Defender
{3}{B}, {T}: Target opponent loses 2 life, then reveals a card at random from their hand.",3,{2}{B},Creature - Human Rogue,
17022,Izzet Cluestone,"{T}: Add {U} or {R}.
{U}{R}, {T}, Sacrifice Izzet Cluestone: Draw a card.",3,{3},Artifact,
17024,Jelenn Sphinx,"Flying, vigilance
Whenever Jelenn Sphinx attacks, other attacking creatures get +1/+1 until end of turn.",5,{3}{W}{U},Creature - Sphinx,
17025,Korozda Gorgon,"Deathtouch
{2}, Remove a +1/+1 counter from a creature you control: Target creature gets -1/-1 until end of turn.",5,{3}{B}{G},Creature - Gorgon,
17026,Krasis Incubation,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
{1}{G}{U}, Return Krasis Incubation to its owner's hand: Put two +1/+1 counters on enchanted creature.",4,{2}{G}{U},Enchantment - Aura,
17027,Kraul Warrior,{5}{G}: Kraul Warrior gets +3/+3 until end of turn.,2,{1}{G},Creature - Insect Warrior,
17028,Lavinia of the Tenth,"Protection from red
When Lavinia of the Tenth enters the battlefield, detain each nonland permanent your opponents control with mana value 4 or less. (Until your next turn, those permanents can't attack or block and their activated abilities can't be activated.)",5,{3}{W}{U},Legendary Creature - Human Soldier,
17029,Legion's Initiative,"Red creatures you control get +1/+0.
White creatures you control get +0/+1.
{R}{W}, Exile Legion's Initiative: Exile all creatures you control. At the beginning of the next combat, return those cards to the battlefield under their owner's control and those creatures gain haste until end of turn.",2,{R}{W},Enchantment,
17030,Lyev Decree,"Detain up to two target creatures your opponents control. (Until your next turn, those creatures can't attack or block and their activated abilities can't be activated.)",2,{1}{W},Sorcery,
17031,Master of Cruelties,"First strike, deathtouch
Master of Cruelties can only attack alone.
Whenever Master of Cruelties attacks a player and isn't blocked, that player's life total becomes 1. Master of Cruelties assigns no combat damage this combat.",5,{3}{B}{R},Creature - Demon,
17032,Maw of the Obzedat,Sacrifice a creature: Creatures you control get +1/+1 until end of turn.,5,{3}{W}{B},Creature - Thrull,
17033,Maze Abomination,"Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
Multicolored creatures you control have deathtouch.",6,{5}{B},Creature - Elemental,
17034,Maze Behemoth,"Trample
Multicolored creatures you control have trample.",6,{5}{G},Creature - Elemental,
17035,Maze Glider,"Flying
Multicolored creatures you control have flying.",6,{5}{U},Creature - Elemental,
17036,Maze Rusher,"Haste
Multicolored creatures you control have haste.",6,{5}{R},Creature - Elemental,
17037,Maze's End,"Maze's End enters the battlefield tapped.
{T}: Add {C}.
{3}, {T}, Return Maze's End to its owner's hand: Search your library for a Gate card, put it onto the battlefield, then shuffle. If you control ten or more Gates with different names, you win the game.",0,,Land,
17038,Maze Sentinel,"Vigilance
Multicolored creatures you control have vigilance.",6,{5}{W},Creature - Elemental,
17039,"Melek, Izzet Paragon","Play with the top card of your library revealed.
You may cast instant and sorcery spells from the top of your library.
Whenever you cast an instant or sorcery spell from your library, copy it. You may choose new targets for the copy.",6,{4}{U}{R},Legendary Creature - Weird Wizard,
17040,Mending Touch,Regenerate target creature.,1,{G},Instant,
17041,Mindstatic,Counter target spell unless its controller pays {6}.,4,{3}{U},Instant,
17042,"Mirko Vosk, Mind Drinker","Flying
Whenever Mirko Vosk, Mind Drinker deals combat damage to a player, that player reveals cards from the top of their library until they reveal four land cards, then puts those cards into their graveyard.",5,{3}{U}{B},Legendary Creature - Vampire,
17043,Morgue Burst,Return target creature card from your graveyard to your hand. Morgue Burst deals damage to any target equal to the power of the card returned this way.,6,{4}{B}{R},Sorcery,
17044,Murmuring Phantasm,Defender,2,{1}{U},Creature - Spirit,
17045,Mutant's Prey,Target creature you control with a +1/+1 counter on it fights target creature an opponent controls. (Each deals damage equal to its power to the other.),1,{G},Instant,
17046,Nivix Cyclops,"Defender
Whenever you cast an instant or sorcery spell, Nivix Cyclops gets +3/+0 until end of turn and can attack this turn as though it didn't have defender.",3,{1}{U}{R},Creature - Cyclops,
17047,Notion Thief,"Flash
If an opponent would draw a card except the first one they draw in each of their draw steps, instead that player skips that draw and you draw a card.",4,{2}{U}{B},Creature - Human Rogue,
17048,Obzedat's Aid,Return target permanent card from your graveyard to the battlefield.,5,{3}{W}{B},Sorcery,
17049,Opal Lake Gatekeepers,"When Opal Lake Gatekeepers enters the battlefield, if you control two or more Gates, you may draw a card.",4,{3}{U},Creature - Vedalken Soldier,
17050,Orzhov Cluestone,"{T}: Add {W} or {B}.
{W}{B}, {T}, Sacrifice Orzhov Cluestone: Draw a card.",3,{3},Artifact,
17052,Phytoburst,Target creature gets +5/+5 until end of turn.,2,{1}{G},Sorcery,
17053,Pilfered Plans,Target player mills two cards. Draw two cards.,3,{1}{U}{B},Sorcery,
17054,Plasm Capture,"Counter target spell. At the beginning of your next precombat main phase, add X mana in any combination of colors, where X is that spell's mana value.",4,{G}{G}{U}{U},Instant,
17055,Pontiff of Blight,"Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)
Other creatures you control have extort. (If a creature has multiple instances of extort, each triggers separately.)",6,{4}{B}{B},Creature - Zombie Cleric,
17056,Possibility Storm,"Whenever a player casts a spell from their hand, that player exiles it, then exiles cards from the top of their library until they exile a card that shares a card type with it. That player may cast that card without paying its mana cost. Then they put all cards exiled with Possibility Storm on the bottom of their library in a random order.",5,{3}{R}{R},Enchantment,
17057,Profit // Loss,None,5,{1}{W} // {2}{B},Instant // Instant,
17058,Progenitor Mimic,"You may have Progenitor Mimic enter the battlefield as a copy of any creature on the battlefield, except it has ""At the beginning of your upkeep, if this creature isn't a token, create a token that's a copy of this creature.""",6,{4}{G}{U},Creature - Shapeshifter,
17059,Protect // Serve,None,5,{2}{W} // {1}{U},Instant // Instant,
17060,Punish the Enemy,Punish the Enemy deals 3 damage to target player or planeswalker and 3 damage to target creature.,5,{4}{R},Instant,
17062,Pyrewild Shaman,"Bloodrush - {1}{R}, Discard Pyrewild Shaman: Target attacking creature gets +3/+1 until end of turn.
Whenever one or more creatures you control deal combat damage to a player, if Pyrewild Shaman is in your graveyard, you may pay {3}. If you do, return Pyrewild Shaman to your hand.",3,{2}{R},Creature - Goblin Shaman,
17063,Rakdos Cluestone,"{T}: Add {B} or {R}.
{B}{R}, {T}, Sacrifice Rakdos Cluestone: Draw a card.",3,{3},Artifact,
17064,Rakdos Drake,"Flying
Unleash (You may have this creature enter the battlefield with a +1/+1 counter on it. It can't block as long as it has a +1/+1 counter on it.)",3,{2}{B},Creature - Drake,
17066,Ral Zarek,"+1: Tap target permanent, then untap another target permanent.
−2: Ral Zarek deals 3 damage to any target.
−7: Flip five coins. Take an extra turn after this one for each coin that comes up heads.",4,{2}{U}{R},Legendary Planeswalker - Ral,
17067,Ready // Willing,None,6,{1}{G}{W} // {1}{W}{B},Instant // Instant,
17068,Reap Intellect,"Target opponent reveals their hand. You choose up to X nonland cards from it and exile them. For each card exiled this way, search that player's graveyard, hand, and library for any number of cards with the same name as that card and exile them. Then that player shuffles.",4,{X}{2}{U}{B},Sorcery,
17069,Render Silent,Counter target spell. Its controller can't cast spells this turn.,3,{W}{U}{U},Instant,
17070,Renegade Krasis,"Evolve (Whenever a creature enters the battlefield under your control, if that creature has greater power or toughness than this creature, put a +1/+1 counter on this creature.)
Whenever Renegade Krasis evolves, put a +1/+1 counter on each other creature you control with a +1/+1 counter on it.",3,{1}{G}{G},Creature - Beast Mutant,
17071,Renounce the Guilds,Each player sacrifices a multicolored permanent.,2,{1}{W},Instant,
17072,Restore the Peace,Return each creature that dealt damage this turn to its owner's hand.,3,{1}{W}{U},Instant,
17073,Riot Control,You gain 1 life for each creature your opponents control. Prevent all damage that would be dealt to you this turn.,3,{2}{W},Instant,
17074,Riot Piker,"First strike
Riot Piker attacks each combat if able.",2,{1}{R},Creature - Goblin Berserker,
17075,Rot Farm Skeleton,"Rot Farm Skeleton can't block.
{2}{B}{G}, Mill four cards: Return Rot Farm Skeleton from your graveyard to the battlefield. Activate only as a sorcery.",4,{2}{B}{G},Creature - Plant Skeleton,
17076,Rubblebelt Maaka,"Bloodrush - {R}, Discard Rubblebelt Maaka: Target attacking creature gets +3/+3 until end of turn.",4,{3}{R},Creature - Cat,
17077,Runner's Bane,"Enchant creature with power 3 or less
When Runner's Bane enters the battlefield, tap enchanted creature.
Enchanted creature doesn't untap during its controller's untap step.",2,{1}{U},Enchantment - Aura,
17078,"Ruric Thar, the Unbowed","Vigilance, reach
Ruric Thar, the Unbowed attacks each combat if able.
Whenever a player casts a noncreature spell, Ruric Thar deals 6 damage to that player.",6,{4}{R}{G},Legendary Creature - Ogre Warrior,
17079,Saruli Gatekeepers,"When Saruli Gatekeepers enters the battlefield, if you control two or more Gates, you gain 7 life.",4,{3}{G},Creature - Elf Warrior,
17080,Savageborn Hydra,"Double strike
Savageborn Hydra enters the battlefield with X +1/+1 counters on it.
{1}{R/G}: Put a +1/+1 counter on Savageborn Hydra. Activate only as a sorcery.",2,{X}{R}{G},Creature - Hydra,
17081,Scab-Clan Giant,"When Scab-Clan Giant enters the battlefield, it fights target creature an opponent controls chosen at random.",6,{4}{R}{G},Creature - Giant Warrior,
17082,Scion of Vitu-Ghazi,"When Scion of Vitu-Ghazi enters the battlefield, if you cast it from your hand, create a 1/1 white Bird creature token with flying, then populate. (Create a token that's a copy of a creature token you control.)",5,{3}{W}{W},Creature - Elemental,
17083,Selesnya Cluestone,"{T}: Add {G} or {W}.
{G}{W}, {T}, Sacrifice Selesnya Cluestone: Draw a card.",3,{3},Artifact,
17084,Selesnya Guildgate,"Selesnya Guildgate enters the battlefield tapped.
{T}: Add {G} or {W}.",0,,Land - Gate,
17085,Showstopper,"Until end of turn, creatures you control gain ""When this creature dies, it deals 2 damage to target creature an opponent controls.""",3,{1}{B}{R},Instant,
17086,Simic Cluestone,"{T}: Add {G} or {U}.
{G}{U}, {T}, Sacrifice Simic Cluestone: Draw a card.",3,{3},Artifact,
17087,Simic Guildgate,"Simic Guildgate enters the battlefield tapped.
{T}: Add {G} or {U}.",0,,Land - Gate,
17088,Sin Collector,"When Sin Collector enters the battlefield, target opponent reveals their hand. You choose an instant or sorcery card from it and exile that card.",3,{1}{W}{B},Creature - Human Cleric,
17089,Sinister Possession,"Enchant creature
Whenever enchanted creature attacks or blocks, its controller loses 2 life.",1,{B},Enchantment - Aura,
17090,Sire of Insanity,"At the beginning of each end step, each player discards their hand.",6,{4}{B}{R},Creature - Demon,
17091,Skylasher,"Flash
This spell can't be countered.
Reach, protection from blue",2,{1}{G},Creature - Insect,
17092,Smelt-Ward Gatekeepers,"When Smelt-Ward Gatekeepers enters the battlefield, if you control two or more Gates, gain control of target creature an opponent controls until end of turn. Untap that creature. It gains haste until end of turn.",4,{3}{R},Creature - Human Warrior,
17093,Species Gorger,"At the beginning of your upkeep, return a creature you control to its owner's hand.",5,{3}{G}{U},Creature - Frog Beast,
17094,Spike Jester,Haste,2,{B}{R},Creature - Goblin Warrior,
17095,Steeple Roc,"Flying, first strike",5,{4}{W},Creature - Bird,
17096,Sunspire Gatekeepers,"When Sunspire Gatekeepers enters the battlefield, if you control two or more Gates, create a 2/2 white Knight creature token with vigilance.",4,{3}{W},Creature - Human Soldier,
17097,"Tajic, Blade of the Legion","Indestructible
Battalion - Whenever Tajic, Blade of the Legion and at least two other creatures attack, Tajic gets +5/+5 until end of turn.",4,{2}{R}{W},Legendary Creature - Human Soldier,
17098,"Teysa, Envoy of Ghosts","Vigilance, protection from creatures
Whenever a creature deals combat damage to you, destroy that creature. Create a 1/1 white and black Spirit creature token with flying.",7,{5}{W}{B},Legendary Creature - Human Advisor,
17099,Thrashing Mossdog,"Reach (This creature can block creatures with flying.)
Scavenge {4}{G}{G} ({4}{G}{G}, Exile this card from your graveyard: Put a number of +1/+1 counters equal to this card's power on target creature. Scavenge only as a sorcery.)",4,{3}{G},Creature - Plant Dog,
17100,Tithe Drinker,"Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Extort (Whenever you cast a spell, you may pay {W/B}. If you do, each opponent loses 1 life and you gain that much life.)",2,{W}{B},Creature - Vampire,
17101,Toil // Trouble,None,6,{2}{B} // {2}{R},Sorcery // Sorcery,
17102,Trait Doctoring,"Change the text of target permanent by replacing all instances of one color word with another or one basic land type with another until end of turn.
Cipher (Then you may exile this spell card encoded on a creature you control. Whenever that creature deals combat damage to a player, its controller may cast a copy of the encoded card without paying its mana cost.)",1,{U},Sorcery,
17103,Trostani's Summoner,"When Trostani's Summoner enters the battlefield, create a 2/2 white Knight creature token with vigilance, a 3/3 green Centaur creature token, and a 4/4 green Rhino creature token with trample.",7,{5}{G}{W},Creature - Elf Shaman,
17104,Turn // Burn,None,5,{2}{U} // {1}{R},Instant // Instant,
17105,Ubul Sar Gatekeepers,"When Ubul Sar Gatekeepers enters the battlefield, if you control two or more Gates, target creature an opponent controls gets -2/-2 until end of turn.",4,{3}{B},Creature - Zombie Soldier,
17106,Uncovered Clues,Look at the top four cards of your library. You may reveal up to two instant and/or sorcery cards from among them and put the revealed cards into your hand. Put the rest on the bottom of your library in any order.,3,{2}{U},Sorcery,
17107,Unflinching Courage,"Enchant creature
Enchanted creature gets +2/+2 and has trample and lifelink. (Damage dealt by a creature with lifelink also causes its controller to gain that much life.)",3,{1}{G}{W},Enchantment - Aura,
17108,"Varolz, the Scar-Striped","Each creature card in your graveyard has scavenge. The scavenge cost is equal to its mana cost. (Exile a creature card from your graveyard and pay its mana cost: Put a number of +1/+1 counters equal to that card's power on target creature. Scavenge only as a sorcery.)
Sacrifice another creature: Regenerate Varolz, the Scar-Striped.",3,{1}{B}{G},Legendary Creature - Troll Warrior,
17109,Viashino Firstblade,"Haste
When Viashino Firstblade enters the battlefield, it gets +2/+2 until end of turn.",3,{1}{R}{W},Creature - Viashino Soldier,
17110,Voice of Resurgence,"Whenever an opponent casts a spell during your turn or when Voice of Resurgence dies, create a green and white Elemental creature token with ""This creature's power and toughness are each equal to the number of creatures you control.""",2,{G}{W},Creature - Elemental,
17111,Vorel of the Hull Clade,"{G}{U}, {T}: Double the number of each kind of counter on target artifact, creature, or land.",3,{1}{G}{U},Legendary Creature - Human Merfolk,
17112,Wake the Reflections,Populate. (Create a token that's a copy of a creature token you control.),1,{W},Sorcery,
17113,Warleader's Helix,Warleader's Helix deals 4 damage to any target and you gain 4 life.,4,{2}{R}{W},Instant,
17114,Warped Physique,"Target creature gets +X/-X until end of turn, where X is the number of cards in your hand.",2,{U}{B},Instant,
17115,Weapon Surge,"Target creature you control gets +1/+0 and gains first strike until end of turn.
Overload {1}{R} (You may cast this spell for its overload cost. If you do, change ""target"" in its text to ""each."")",1,{R},Instant,
17116,Wear // Tear,None,3,{1}{R} // {W},Instant // Instant,
17118,Woodlot Crawler,"Forestwalk (This creature can't be blocked as long as defending player controls a Forest.)
Protection from green",2,{U}{B},Creature - Insect,
17119,Zhur-Taa Ancient,"Whenever a player taps a land for mana, that player adds one mana of any type that land produced.",5,{3}{R}{G},Creature - Beast,
17120,Zhur-Taa Druid,"{T}: Add {G}.
Whenever you tap Zhur-Taa Druid for mana, it deals 1 damage to each opponent.",2,{R}{G},Creature - Human Druid,
17260,Peer Through Depths,Look at the top five cards of your library. You may reveal an instant or sorcery card from among them and put it into your hand. Put the rest on the bottom of your library in any order.,2,{1}{U},Instant - Arcane,
17262,Peppersmoke,"Target creature gets -1/-1 until end of turn. If you control a Faerie, draw a card.",1,{B},Tribal Instant - Faerie,
17264,Pestermite,"Flash
Flying
When Pestermite enters the battlefield, you may tap or untap target permanent.",3,{2}{U},Creature - Faerie Rogue,
17265,Petals of Insight,"Look at the top three cards of your library. You may put those cards on the bottom of your library in any order. If you do, return Petals of Insight to its owner's hand. Otherwise, draw three cards.",5,{4}{U},Sorcery - Arcane,
17269,Pyrite Spellbomb,"{R}, Sacrifice Pyrite Spellbomb: It deals 2 damage to any target.
{1}, Sacrifice Pyrite Spellbomb: Draw a card.",1,{1},Artifact,
17274,Reach Through Mists,Draw a card.,1,{U},Instant - Arcane,
17282,Runed Stalactite,"Equipped creature gets +1/+1 and is every creature type.
Equip {2}",1,{1},Artifact - Equipment,
17283,"Ryusei, the Falling Star","Flying
When Ryusei, the Falling Star dies, it deals 5 damage to each creature without flying.",6,{5}{R},Legendary Creature - Dragon Spirit,
17286,Sandsower,Tap three untapped creatures you control: Tap target creature.,4,{3}{W},Creature - Spirit,
17288,Scion of Oona,"Flash
Flying
Other Faerie creatures you control get +1/+1.
Other Faeries you control have shroud. (They can't be the targets of spells or abilities.)",3,{2}{U},Creature - Faerie Soldier,
17290,Shrapnel Blast,"As an additional cost to cast this spell, sacrifice an artifact.
Shrapnel Blast deals 5 damage to any target.",2,{1}{R},Instant,
17295,Spellstutter Sprite,"Flash
Flying
When Spellstutter Sprite enters the battlefield, counter target spell with mana value X or less, where X is the number of Faeries you control.",2,{1}{U},Creature - Faerie Wizard,
17296,Academy Raider,"Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)
Whenever Academy Raider deals combat damage to a player, you may discard a card. If you do, draw a card.",3,{2}{R},Creature - Human Warrior,
17298,Accursed Spirit,Intimidate (This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.),4,{3}{B},Creature - Spirit,
17300,Advocate of the Beast,"At the beginning of your end step, put a +1/+1 counter on target Beast creature you control.",3,{2}{G},Creature - Elf Shaman,
17303,Ajani's Chosen,"Whenever an enchantment enters the battlefield under your control, create a 2/2 white Cat creature token. If that enchantment is an Aura, you may attach it to the token.",4,{2}{W}{W},Creature - Cat Soldier,
17305,Angelic Accord,"At the beginning of each end step, if you gained 4 or more life this turn, create a 4/4 white Angel creature token with flying.",4,{3}{W},Enchantment,
17308,Archangel of Thune,"Flying
Lifelink (Damage dealt by this creature also causes you to gain that much life.)
Whenever you gain life, put a +1/+1 counter on each creature you control.",5,{3}{W}{W},Creature - Angel,
17310,Artificer's Hex,"Enchant Equipment
At the beginning of your upkeep, if enchanted Equipment is attached to a creature, destroy that creature.",1,{B},Enchantment - Aura,
17312,Awaken the Ancient,"Enchant Mountain
Enchanted Mountain is a 7/7 red Giant creature with haste. It's still a land.",4,{1}{R}{R}{R},Enchantment - Aura,
17313,Banisher Priest,"When Banisher Priest enters the battlefield, exile target creature an opponent controls until Banisher Priest leaves the battlefield. (That creature returns under its owner's control.)",3,{1}{W}{W},Creature - Human Cleric,
17314,Barrage of Expendables,"{R}, Sacrifice a creature: Barrage of Expendables deals 1 damage to any target.",1,{R},Enchantment,
17315,Battle Sliver,Sliver creatures you control get +2/+0.,5,{4}{R},Creature - Sliver,
17317,Blightcaster,"Whenever you cast an enchantment spell, you may have target creature get -2/-2 until end of turn.",4,{3}{B},Creature - Human Wizard,
17318,Blood Bairn,Sacrifice another creature: Blood Bairn gets +2/+2 until end of turn.,3,{2}{B},Creature - Vampire,
17319,Blur Sliver,Sliver creatures you control have haste. (They can attack and {T} as soon as they come under your control.),3,{2}{R},Creature - Sliver,
17320,Bogbrew Witch,"{2}, {T}: Search your library for a card named Festering Newt or Bubbling Cauldron, put it onto the battlefield tapped, then shuffle.",4,{3}{B},Creature - Human Wizard,
17321,Bonescythe Sliver,Sliver creatures you control have double strike. (They deal both first-strike and regular combat damage.),4,{3}{W},Creature - Sliver,
17326,Bubbling Cauldron,"{1}, {T}, Sacrifice a creature: You gain 4 life.
{1}, {T}, Sacrifice a creature named Festering Newt: Each opponent loses 4 life. You gain life equal to the life lost this way.",2,{2},Artifact,
17327,Burning Earth,"Whenever a player taps a nonbasic land for mana, Burning Earth deals 1 damage to that player.",4,{3}{R},Enchantment,
17331,Celestial Flare,Target player sacrifices an attacking or blocking creature.,2,{W}{W},Instant,
17332,"Chandra, Pyromaster","+1: Chandra, Pyromaster deals 1 damage to target player or planeswalker and 1 damage to up to one target creature that player or that planeswalker's controller controls. That creature can't block this turn.
0: Exile the top card of your library. You may play it this turn.
−7: Exile the top ten cards of your library. Choose an instant or sorcery card exiled this way and copy it three times. You may cast the copies without paying their mana costs.",4,{2}{R}{R},Legendary Planeswalker - Chandra,
17335,Charging Griffin,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Charging Griffin attacks, it gets +1/+1 until end of turn.",4,{3}{W},Creature - Griffin,
17339,Colossal Whale,"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
Whenever Colossal Whale attacks, you may exile target creature defending player controls until Colossal Whale leaves the battlefield. (That creature returns under its owner's control.)",7,{5}{U}{U},Creature - Whale,
